variable,mean_error,max_error,std_error,mean_value,std_value,rel_error_pct
ts0040012,0.0026527814765207177,0.012990928651879202,0.0041237171062946994,0.013079479034307498,0.022271208984159064,20.282011764860567
ts0270007,0.002635698083184434,0.006608675096906286,0.0016551394468763381,0.012229177255400252,0.02000447175535772,21.55253806645531
ts0750004,0.002593733436309583,0.007696349295845617,0.002429782830434659,0.3294573432867429,0.11954684680014471,0.7872744345091526
ts0170007,0.002591515778335134,0.006753087459602902,0.0018804207971844893,0.04546439008894537,0.03300612388245433,5.700100173487775
ts0380007,0.0025706780375847615,0.0072074943608649855,0.0020500402987469516,0.7506827827191869,0.07098103557763226,0.3424453173513629
ts0210007,0.0025513126094415693,0.009431134099481986,0.002869025716923796,0.015138839474798814,0.02624132273037155,16.852762153193215
ts0030011,0.0025122374711918014,0.005435117169296677,0.001593245973076399,0.11439663807708599,0.053149607385936985,2.196076312573919
ts0530003,0.0025087484927712525,0.004328337575499913,0.001562095582013492,0.26590302308343927,0.10158672141626389,0.9434825011312554
ts0660031,0.0025082368115397465,0.006222553407335317,0.0017800201771718282,0.0307723845828039,0.025340379625070554,8.150934175382005
ts0170005,0.0024933939005246687,0.007142500237070359,0.0020240040444013817,0.1599624947056332,0.051768892853881025,1.5587365682893803
ts007a0019,0.0024891289618299635,0.010567724337238946,0.003125998793917108,0.025781750317662014,0.027216259125575643,9.654615885891827
ts0040002,0.002456869914928994,0.005345909966603446,0.0015904370195677362,0.9077341063108852,0.10504128648068742,0.27065964557770544
ts0300010,0.0024406764700061496,0.004471241279425664,0.001444260816474516,0.05972515353663702,0.026712029901240636,4.086513513119682
ts0270019,0.0024301556067754995,0.004785385889932325,0.001462655237756882,0.09249473739940704,0.10074539464702756,2.627344728037553
ts0270017,0.0024256333666258993,0.004822109781911055,0.0014713403095700515,0.08742046802202456,0.09870860416342322,2.7746744229449667
ts0660003,0.002422750160713756,0.004823577861487016,0.001412554509979815,0.5564676937738247,0.11395802139418976,0.4353802004718856
ts0190002,0.0024221834405622894,0.00700713904025041,0.0024058153461712834,0.8934392577297755,0.0835019571707055,0.2711077915601162
ts0540009,0.0023861050671632614,0.005409534190201848,0.0012425322635260694,0.08667988670055062,0.1319090791692299,2.752778248783872
ts0440003,0.0023558954110169117,0.006117903196165175,0.00210306398028378,0.31910678208386273,0.24685429630915567,0.7382780759569603
ts0670002,0.002346372381565485,0.005906652990855243,0.0018016537031653906,0.18498267153748413,0.0888315466799661,1.2684282057684662
ts0190003,0.0022773462085039207,0.006968315647680461,0.0023912419841154954,0.005274311732316815,0.02049207464564689,43.178073729509435
ts0530002,0.0022540272969918743,0.005092121292415319,0.0014477486765305239,0.46128400571791617,0.22299414991472077,0.48864197957261374
ts0520004,0.0022456578269257205,0.0056322047121069585,0.0018075476640474523,0.2629169843286743,0.16261372304377622,0.8541318974351267
ts0630006,0.0022450425672454616,0.004150916940341018,0.0012779901906120315,0.10463833121558662,0.04670655480411893,2.14552596659822
ts0620008,0.00224350219616337,0.004012773508759532,0.001110754743560242,0.12335080474375265,0.0670353717080128,1.8187981836227107
ts0300008,0.002235305597478621,0.007269687775008568,0.002225359923392719,0.0077626376535366364,0.02906725651865327,28.795696736665562
ts0630004,0.0022350596733965184,0.004791521955913786,0.0014403714072535945,0.12818057496823382,0.046876512006501524,1.7436804866497277
ts0450003,0.002200081133462782,0.004276667942422485,0.0014839074393285664,0.4126900677678949,0.08654535828080098,0.5331073619877257
